name,steam_appid,required_age,legal_notice,platforms,categories,genres,recommendations,achievements,release_date,price,english,developer,publisher
Zup! 3,575640,0,,windows,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Family Sharing,Casual;Indie,{'total': 5118},1708,2017-01-12,1.99,1,Quiet River,Quiet River
PARKAN: THE IMPERIAL CHRONICLES,575690,0,Copyright © 2022 GameXP.com. All rights reserved.,windows,Single-player;Family Sharing,Adventure;RPG;Simulation;Strategy,,0,2017-01-23,2.99,1,GameXP.com,GameXP.com
Fruit Arranger,575700,0,,windows,Single-player;Steam Achievements;Steam Trading Cards;Family Sharing,Casual;Indie,{'total': 122},101,2017-01-23,0.99,1,Mihai Morosanu,Mihai Morosanu
Mighty Party,575720,0,,windows,Single-player;Multi-player;MMO;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases,Action;Adventure;Massively Multiplayer;RPG;Strategy;Free to Play,,29,2017-03-30,0.0,1,Panoramik Games LTD,Panoramik Games LTD
ANIMALITY,576470,0,,windows,Single-player;Multi-player;Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards;Remote Play Together;Family Sharing,Adventure;Casual;Indie;Early Access,{'total': 177},492,2017-02-02,1.99,1,ColloseusX,Phat Phrog Studios
Zoop! - Hunter's Grimm,577460,0,,windows,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Family Sharing,Action;Adventure;Indie;RPG,{'total': 273},25,2017-03-03,1.99,1,Warfare Studios,Senpai Studios
Ys VIII: Lacrimosa of DANA,579180,0,"© Nihon Falcom Corporation. All Rights Reserved. Licensed to and published by NIS America, Inc.",windows,Single-player;Multi-player;Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Remote Play on TV;Remote Play Together;Family Sharing,Action;RPG,{'total': 4712},54,2018-04-16,39.99,1,Nihon Falcom,"NIS America, Inc."
Metal Waltz: Anime tank girls,581130,0,,windows,Multi-player;PvP;Online PvP;Steam Achievements;Steam Trading Cards;In-App Purchases,Adventure;RPG;Simulation;Strategy,,84,2017-05-02,0.0,1,WuL Game Studio,WuL Game Studio
Estranged: The Departure,582890,0,,windows;mac;linux,Single-player;Steam Achievements;Full controller support;Captions available;Stats;Commentary available;Family Sharing,Action;Adventure;Casual;Indie,{'total': 228},14,2020-05-22,5.99,1,Alan Edwardes,Alan Edwardes
Late Shift,584980,0,"©2017 Wales Interactive Ltd. Wales Interactive Logo is a trademarks of Wales Interactive Ltd. ©2017 CtrlMovie. CtrlMovie Logo, Late Shift, and Late Shift figures are trademarks of Late Shift Production UK Ltd.",windows;mac,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Remote Play on TV;Family Sharing,Adventure;Indie,{'total': 7121},20,2017-04-18,14.99,1,CtrlMovie,Wales Interactive
Street Fighter 30th Anniversary Collection,586200,0,"©CAPCOM U.S.A., INC. ALL RIGHTS RESERVED.",windows,Single-player;Multi-player;PvP;Online PvP;Shared/Split Screen PvP;Shared/Split Screen;Steam Achievements;Partial Controller Support;Remote Play Together;Family Sharing,Action,{'total': 1738},17,2018-05-29,29.99,1,Digital Eclipse,"Capcom U.S.A, Inc."
I Expect You To Die,587430,0,"© 2016-2023 Schell Games LLC. SCHELL GAMES, I EXPECT YOU TO DIE and related logos are trademarks of Schell Games LLC.",windows,Single-player;Steam Achievements;Tracked Controller Support;VR Only;Steam Trading Cards;Family Sharing,Adventure,{'total': 1957},11,2017-04-25,24.99,1,Schell Games,Schell Games
Zup! 4,591420,0,,windows,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Family Sharing,Casual;Indie,{'total': 2715},555,2017-02-20,1.99,1,Quiet River,Quiet River
Parkasaurus,591460,0,© 2017 Washbear Studio Inc. All rights reserved.,windows,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Family Sharing,Simulation;Strategy,{'total': 2492},57,2020-08-12,24.99,1,Washbear Studio,Washbear Studio
The Vagrant,598700,0,All rights reserved by Baise Software LLC.,windows,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Remote Play on Tablet;Family Sharing,Action;Adventure;Indie;RPG,{'total': 7387},40,2018-07-13,3.99,1,O.T.K Games,SakuraGame
Carcassonne - Tiles & Tactics,598810,0,© 2022 Carcassonne digital game published and developed by Twin Sails Interactive. Carcassonne board game created by Hans im Glück.,windows,Single-player;Multi-player;PvP;Online PvP;Shared/Split Screen PvP;Shared/Split Screen;Cross-Platform Multiplayer;In-App Purchases;Steam Turn Notifications;Remote Play on Phone;Remote Play on Tablet;Remote Play Together;Family Sharing,Casual;Strategy,{'total': 1529},0,2017-11-29,9.99,1,Artefacts Studio,Twin Sails Interactive
Weapon Shop Fantasy,599460,0,,windows;mac;linux,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Family Sharing,Adventure;Casual;Indie;RPG;Simulation,{'total': 1414},131,2017-03-27,9.99,1,INDIECN,INDIECN
Crisis in the Kremlin,599750,0,,windows;mac;linux,Single-player;Steam Achievements;Steam Trading Cards;Family Sharing,Indie;Simulation;Strategy,{'total': 1245},42,2017-03-20,4.99,1,Kremlingames,Kremlingames
